experiment,block,method,retention,worst_pair,new_learning,below_chance,unused_presented
EXP-007,block_1008,homeostasis,0.8809418984477834,0.37916654837120195,0.9754220111946741,0.125,0.3013698630136986
EXP-007,block_1009,ordinary,0.6856970483080854,0.00046300716166481736,0.9734792113752191,0.3125,0.3698630136986301
EXP-007,block_1009,homeostasis,0.7123523518363419,0.0007160352548384059,0.9739223023942964,0.25,0.3150684931506849
EXP-007,block_1010,ordinary,0.7349827047057533,0.05366967267209104,0.9907623456390791,0.1875,0.5342465753424658
EXP-007,block_1010,homeostasis,0.701761429014718,0.02536834937140736,0.987333540266871,0.3125,0.4657534246575342
EXP-007,block_1011,ordinary,0.7531162279388923,0.012147407092884364,0.9903740574345681,0.3125,0.273972602739726
EXP-007,block_1011,homeostasis,0.796712522295629,0.037763287652646145,0.9904494552917633,0.25,0.2465753424657534
EXP-007,block_1012,ordinary,0.5808503748902626,0.0016653583285772841,0.9718980025433914,0.4375,0.6164383561643836
EXP-007,block_1012,homeostasis,0.5599829576205029,0.00036022951256195663,0.9723133525999105,0.4375,0.5616438356164384
EXP-007,block_1013,ordinary,0.7443675733562501,0.1374000582314765,0.9877903990902653,0.25,0.4657534246575342
EXP-007,block_1013,homeostasis,0.7196863550110628,0.015672983354515047,0.9796887294390046,0.3125,0.3972602739726027
EXP-007,block_1014,ordinary,0.8476863153331363,0.12114600376839434,0.9946820406901109,0.125,0.4931506849315068
EXP-007,block_1014,homeostasis,0.7968573126270322,0.0015209900163651643,0.9952858209816925,0.1875,0.4657534246575342
EXP-007,block_1015,ordinary,0.8292055347776845,0.1999922056946162,0.9865469263444988,0.125,0.2876712328767123
EXP-007,block_1015,homeostasis,0.822454698039999,0.11407892965654001,0.9892417661727673,0.125,0.273972602739726
EXP-007,block_1016,ordinary,0.7689347530845168,0.21364270558676235,0.9892072085138512,0.25,0.4931506849315068
EXP-007,block_1016,homeostasis,0.7829508456215786,0.17097408824035762,0.9890999573324468,0.125,0.3835616438356164
EXP-007,block_1017,ordinary,0.7867917876431567,0.36381145847655655,0.9907848611093983,0.25,0.4246575342465753
EXP-007,block_1017,homeostasis,0.7861229447621445,0.3403106742287347,0.9933243359511055,0.1875,0.3287671232876712
EXP-007,block_1018,ordinary,0.7617952732492024,0.003578873751927671,0.972263073142757,0.1875,0.4383561643835616
EXP-007,block_1018,homeostasis,0.799667185923844,0.03418705068744347,0.9647122712324303,0.125,0.3698630136986301
