overlap,regime,load,shift,method,pair,subsequent_presentations,retention,lower95,upper95,forgetting,lower95_forgetting,upper95_forgetting
5,per_pair,16,False,ordinary,4,1408,0.9530256210352187,0.9104402461994556,0.9841489033454955,0.033522499357683415,0.007590055164713804,0.07077087461767823
5,per_pair,16,False,ordinary,5,1280,0.9748185177615843,0.9552627301116924,0.9877104247259868,0.020574779927993562,0.008387302230097841,0.03935156311716064
5,per_pair,16,False,ordinary,6,1152,0.9478551778292773,0.9010549055953208,0.9837207519733555,0.04351663339704626,0.010743139834245878,0.08666293464795284
5,per_pair,16,False,ordinary,7,1024,0.9502939506867149,0.8952134442636817,0.9856432043087497,0.03644373922004255,0.011120703905690222,0.0715482435243694
5,per_pair,16,False,ordinary,8,896,0.946965338766431,0.89367537402726,0.9842303094002878,0.04068716073909812,0.007908566064317663,0.08992081762262445
5,per_pair,16,False,ordinary,9,768,0.9736636421473506,0.9412541706738132,0.9932665012571955,0.02228702071081479,0.002902739104562848,0.054533093162730785
5,per_pair,16,False,ordinary,10,640,0.9535721692009668,0.9072378976369376,0.9908321871123911,0.027980515276325713,0.003721273988351588,0.05840909031995579
5,per_pair,16,False,ordinary,11,512,0.994116310210957,0.9908170156675791,0.996779747469918,-1.657222037005727e-05,-0.003834306227709199,0.0038277718409439943
5,per_pair,16,False,ordinary,12,384,0.9878275484148658,0.9763310750917131,0.9956199257183725,-0.0023547345172122516,-0.00960312747565483,0.005130830371802736
5,per_pair,16,False,ordinary,13,256,0.9859337259319374,0.9769301371179471,0.9930732217385176,0.002598590192705854,-0.004793443719374388,0.010341311382876807
5,per_pair,16,False,ordinary,14,128,0.9769968312529863,0.9425846805073981,0.9958362710525338,0.007175805940187449,0.0010330433040382262,0.01808097800849981
5,per_pair,16,False,ordinary,15,0,0.9755037446521607,0.9373243362747246,0.9970612159655635,0.0,0.0,0.0
5,per_pair,16,False,homeostasis,0,1920,0.9572832335246403,0.9242853062448805,0.9833511536121452,0.04037025570444148,0.01467494636962181,0.07295990934006995
