overlap,regime,load,family,metric,mean,lower95,upper95
2,per_pair,2,oracle,unchanged_after_reversal,0.9955452882275917,0.9911519215248547,0.998629840374531
2,per_pair,2,oracle,noise_reversal,0.9943507607416577,0.9888518152007649,0.9983445014631042
2,per_pair,4,native4,retention,0.9181449491537013,0.886979794432465,0.9458466339631023
2,per_pair,4,native4,worst_pair,0.7351803508557393,0.6430987994480132,0.8221708656021128
2,per_pair,4,native4,new_learning,0.991810076779823,0.9876934365719193,0.995376876241295
2,per_pair,4,native4,forgetting,0.07366512762612168,0.04712923415790119,0.10355550312735291
2,per_pair,4,native4,noise_retention,0.89459145488616,0.864998671136436,0.9208900666481232
2,per_pair,4,native4,reversal,0.953347288502072,0.9187760488285649,0.9783777836097746
2,per_pair,4,native4,unchanged_after_reversal,0.8377986465590701,0.7559908372023396,0.9091134983652946
2,per_pair,4,native4,noise_reversal,0.920188649547299,0.8897874260746185,0.9446553208540286
2,per_pair,4,native6,retention,0.9615731285086707,0.9406416432106055,0.9792700858289769
2,per_pair,4,native6,worst_pair,0.8646624109047093,0.7839018875675564,0.9316753975248789
2,per_pair,4,native6,new_learning,0.9915669686658712,0.987566654171663,0.9950372097918243
2,per_pair,4,native6,forgetting,0.029993840157200607,0.012507390861840113,0.050573092241864424
2,per_pair,4,native6,noise_retention,0.9415221602125919,0.9223338494388164,0.9578635488670254
2,per_pair,4,native6,reversal,0.9630606519676135,0.9328100793102173,0.9857296370530282
2,per_pair,4,native6,unchanged_after_reversal,0.8468528248718911,0.7598380536548154,0.9235889491916396
2,per_pair,4,native6,noise_reversal,0.9429576852408409,0.9177866712917784,0.964102391550873
2,per_pair,4,direct,retention,0.9820629300916022,0.9681374311700168,0.9910318843183606
2,per_pair,4,direct,worst_pair,0.938744887909622,0.8839462101003399,0.9727749270964098
2,per_pair,4,direct,new_learning,0.992203279994322,0.9871358155154262,0.9956154939766965
2,per_pair,4,direct,forgetting,0.010140349902719805,-5.760672424669852e-05,0.02426419917811153
2,per_pair,4,direct,noise_retention,0.9666067552220562,0.9532818869853344,0.9768725584010864
2,per_pair,4,direct,reversal,0.9774431538958888,0.9561687371437265,0.9913645528189854
2,per_pair,4,direct,unchanged_after_reversal,0.9318097993405116,0.8774505346090207,0.974879438634668
2,per_pair,4,direct,noise_reversal,0.9632621519956048,0.9415830239900689,0.9792938837594111
2,per_pair,4,random4,retention,0.9215255550979959,0.8952592587000877,0.9442541037453902
2,per_pair,4,random4,worst_pair,0.7632907556330852,0.6941198317203288,0.8280204541686712
2,per_pair,4,random4,new_learning,0.9882167945104825,0.9822694161672438,0.9931229371278052
2,per_pair,4,random4,forgetting,0.0666912394124866,0.04464065137754048,0.09212142276225549
2,per_pair,4,random4,noise_retention,0.8922826050053072,0.8685457240377633,0.9142194727574534
2,per_pair,4,random4,reversal,0.9479155113621233,0.9265570771306213,0.9670331383665017
2,per_pair,4,random4,unchanged_after_reversal,0.8005311411631393,0.7327179903135691,0.8638239930360814
2,per_pair,4,random4,noise_reversal,0.9197327194677003,0.9004978760298791,0.9372499460683118
2,per_pair,4,random6,retention,0.9540899418281374,0.9322036283730883,0.9719901163477765
2,per_pair,4,random6,worst_pair,0.8517418765379731,0.7808665685870603,0.9105238812881804
2,per_pair,4,random6,new_learning,0.9911084805194379,0.9869245868158312,0.9944202890091366
2,per_pair,4,random6,forgetting,0.03701853869130048,0.019716454330044982,0.058499420262994296
2,per_pair,4,random6,noise_retention,0.9227892428820902,0.9004247544073907,0.9424304415166043
2,per_pair,4,random6,reversal,0.9719388170342116,0.9578521228991326,0.9841234909554489
2,per_pair,4,random6,unchanged_after_reversal,0.8409471689238763,0.778227955415575,0.8996166284840621
2,per_pair,4,random6,noise_reversal,0.9442095388048766,0.9299354007021889,0.9572912444713392
2,per_pair,4,oracle,retention,0.9968170332668411,0.9954231095585246,0.9979979044419481
2,per_pair,4,oracle,worst_pair,0.9900247076563211,0.9846863376607693,0.9944944046727248
2,per_pair,4,oracle,new_learning,0.9968170332668411,0.9954231095585246,0.9979979044419481
2,per_pair,4,oracle,forgetting,0.0,0.0,0.0
2,per_pair,4,oracle,noise_retention,0.9968170332668411,0.9954231095585246,0.9979979044419481
2,per_pair,4,oracle,reversal,0.990930709642818,0.9813109723430383,0.9969719475292634
2,per_pair,4,oracle,unchanged_after_reversal,0.9956433160855201,0.9928993891966144,0.9978557971973292
2,per_pair,4,oracle,noise_reversal,0.990930709642818,0.9813109723430383,0.9969719475292634
2,per_pair,8,native4,retention,0.8178921456472386,0.7770253739782561,0.8557114033412178
2,per_pair,8,native4,worst_pair,0.30857874080520714,0.22606361802874897,0.39583906539606306
2,per_pair,8,native4,new_learning,0.9906622478398063,0.9862645918162706,0.9943525119019557
2,per_pair,8,native4,forgetting,0.17277010219256783,0.13606245191995198,0.21292154719835565
2,per_pair,8,native4,noise_retention,0.7975388598690396,0.763747418348202,0.8276914086573725
2,per_pair,8,native4,reversal,0.8961260025544997,0.8556172442528269,0.9323012050809911
2,per_pair,8,native4,unchanged_after_reversal,0.7165634377574559,0.6623055165580477,0.7702621707027255
2,per_pair,8,native4,noise_reversal,0.8683216511238397,0.8332486005626744,0.9004154591336858
2,per_pair,8,native6,retention,0.9041661462269951,0.876293093703097,0.9296711190679324
2,per_pair,8,native6,worst_pair,0.528816540174367,0.4181855825657421,0.6359913114770415
2,per_pair,8,native6,new_learning,0.9928546528013482,0.9906136300349777,0.9948145613409547
2,per_pair,8,native6,forgetting,0.08868850657435307,0.06326225862441928,0.11666218671802009
2,per_pair,8,native6,noise_retention,0.8668125143476961,0.838987558851213,0.8921610286946574
2,per_pair,8,native6,reversal,0.9151221904461715,0.873513420967888,0.9523519995536045
2,per_pair,8,native6,unchanged_after_reversal,0.8110778056997017,0.757155131092285,0.8613308017876733
2,per_pair,8,native6,noise_reversal,0.8941934829737723,0.8592742871032721,0.9258797801191431
2,per_pair,8,direct,retention,0.960955898540612,0.9483860068846665,0.9720876572303426
2,per_pair,8,direct,worst_pair,0.7795366520886647,0.691427586544524,0.8537524852819752
2,per_pair,8,direct,new_learning,0.9928112863404557,0.9902268416092751,0.9947267532035037
2,per_pair,8,direct,forgetting,0.03185538779984371,0.0211713355526858,0.04420113665044288
2,per_pair,8,direct,noise_retention,0.9349834125882037,0.922153309740563,0.9467448834179408
2,per_pair,8,direct,reversal,0.95700527742132,0.9300678839669303,0.978419845786762
2,per_pair,8,direct,unchanged_after_reversal,0.874890802268422,0.8376441661772147,0.9117396185779161
2,per_pair,8,direct,noise_reversal,0.9393767676805558,0.914580631305896,0.9599938095886885
