overlap,regime,load,shift,method,metric,mean,lower95,upper95
2,per_pair,16,False,random_ordinary,worst_pair,0.089206746439292,0.05950040647168538,0.12450576826278649
2,per_pair,16,False,random_ordinary,new_learning,0.9919821912207143,0.9899903125418903,0.993767640472979
2,per_pair,16,False,random_ordinary,forgetting,0.22298309130998767,0.202780792486896,0.2445276366893799
2,per_pair,16,False,random_ordinary,noise_retention,0.7300426457731577,0.7125523656564894,0.7466162779844527
2,per_pair,16,False,random_ordinary,reversal,0.7823786309592864,0.75490800388874,0.8095780189409816
2,per_pair,16,False,random_ordinary,unchanged,0.6456584428779142,0.6172899961343952,0.6737355256415072
2,per_pair,16,False,random_ordinary,below_chance,0.20572916666666666,0.18229166666666666,0.23046875000000003
2,per_pair,16,False,random_homeostasis,retention,0.7748807420586412,0.7522011242526436,0.7960496909306505
2,per_pair,16,False,random_homeostasis,worst_pair,0.10373071554485866,0.07244814208546603,0.13925810284506393
2,per_pair,16,False,random_homeostasis,new_learning,0.9911521058363113,0.9889219657637611,0.9931117422195228
2,per_pair,16,False,random_homeostasis,forgetting,0.21627136377767014,0.19514098939803623,0.2388453648959454
2,per_pair,16,False,random_homeostasis,noise_retention,0.734233658147632,0.7155787727903987,0.7519353061285244
2,per_pair,16,False,random_homeostasis,reversal,0.7848537372285217,0.7580965777801684,0.8113292382729691
2,per_pair,16,False,random_homeostasis,unchanged,0.6408396430942218,0.6140889425578185,0.6678513383007457
2,per_pair,16,False,random_homeostasis,below_chance,0.19270833333333331,0.16666666666666666,0.220703125
2,per_pair,16,False,direct,retention,0.8613399865329496,0.8401600283800452,0.8818747031152825
2,per_pair,16,False,direct,worst_pair,0.14207828704247194,0.08163011672400683,0.21218585447812446
2,per_pair,16,False,direct,new_learning,0.9942644753920944,0.9909657841796734,0.9969345499120899
2,per_pair,16,False,direct,forgetting,0.13292448885914476,0.11244698252617856,0.15404966558005279
2,per_pair,16,False,direct,noise_retention,0.833683718994072,0.8153259414355862,0.8517502186023649
2,per_pair,16,False,direct,reversal,0.8782283788005825,0.850467421762931,0.9056801667900916
